ID,Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamine,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Meth,Mushrooms,Nicotine,Semeron,Volatile substance abuse
2,25-34,Male,Doctorate degree,UK,White,17,35,29,28,23,2,5,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0
3,35-44,Male,Professional certificate/ diploma,UK,White,19,28,14,12,16,1,7,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0
4,18-24,Female,Masters degree,UK,White,22,17,20,27,28,1,2,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0
5,35-44,Female,Doctorate degree,UK,White,31,11,17,21,32,3,5,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0
6,65+,Female,Left school at 18 years,Canada,White,17,21,9,35,34,1,1,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0
7,45-54,Male,Masters degree,USA,White,19,15,17,21,30,3,6,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0
8,35-44,Male,Left school at 16 years,UK,White,12,35,14,21,34,4,4,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
9,35-44,Female,Professional certificate/ diploma,Canada,White,30,38,13,28,31,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
10,55-64,Male,Masters degree,UK,White,21,23,10,27,25,1,3,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
11,25-34,Female,University degree,UK,White,14,28,12,18,35,4,6,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1
12,45-54,Male,"Some college or university, no certificate or degree",Other,White,12,23,21,10,20,5,9,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0
13,55-64,Female,University degree,UK,White,44,24,23,12,18,7,6,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0
14,55-64,Female,Professional certificate/ diploma,Canada,White,16,28,20,29,40,2,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,55-64,Female,Professional certificate/ diploma,UK,White,15,32,23,19,34,7,8,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
16,55-64,Male,University degree,UK,White,7,12,9,16,31,2,4,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0
17,35-44,Female,"Some college or university, no certificate or degree",UK,White,10,17,8,25,29,3,0,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0
18,45-54,Male,Left school at 16 years,UK,White,29,14,18,20,13,1,3,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0
19,55-64,Male,University degree,Australia,White,37,22,19,10,12,2,5,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0
20,35-44,Male,Professional certificate/ diploma,UK,White,20,10,3,10,29,1,0,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0
21,45-54,Male,Professional certificate/ diploma,UK,White,16,28,25,33,15,4,5,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0
22,65+,Male,Left school before 16 years,UK,White,13,26,12,19,35,3,2,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0
23,45-54,Male,University degree,UK,White,28,16,14,30,17,2,6,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
24,45-54,Male,Left school at 16 years,UK,White,39,0,11,25,16,1,1,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1
25,55-64,Male,University degree,UK,White,22,27,28,28,33,3,4,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0
26,45-54,Male,"Some college or university, no certificate or degree",UK,White,16,20,11,29,24,3,7,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0
27,55-64,Female,Left school at 18 years,Canada,White,23,11,0,18,28,4,1,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0
28,35-44,Male,University degree,UK,White,29,14,20,23,7,8,7,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0
29,35-44,Female,Masters degree,UK,White,24,12,15,25,32,4,4,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
30,45-54,Male,Doctorate degree,UK,White,12,34,26,29,35,3,4,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
31,45-54,Male,Left school at 16 years,UK,White,27,17,11,13,19,1,6,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0
32,35-44,Female,Left school at 16 years,Other,White,13,17,21,19,24,1,3,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0
33,35-44,Male,University degree,UK,White,16,14,20,26,24,4,3,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0
34,18-24,Male,University degree,UK,White,28,21,22,31,23,2,1,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
35,35-44,Male,University degree,USA,Other,34,27,26,3,18,5,10,4,2,1,1,5,2,5,2,1,1,1,2,1,1,1,1,5,0,1
36,65+,Male,Left school before 16 years,UK,White,21,17,2,21,18,5,1,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0
37,35-44,Male,University degree,UK,White,21,19,19,23,12,3,5,6,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0
38,55-64,Male,Left school before 16 years,USA,White,27,25,27,24,19,5,4,6,1,2,1,6,3,4,1,0,0,0,0,0,1,0,1,6,0,0
39,45-54,Male,University degree,UK,White,10,31,22,23,29,3,3,6,1,0,0,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0
40,65+,Female,Professional certificate/ diploma,UK,White,21,16,12,18,27,1,5,6,0,0,0,6,1,6,0,0,0,0,0,1,0,4,0,1,0,0
41,35-44,Male,Masters degree,UK,White,24,20,20,9,29,2,6,5,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0,0
42,35-44,Female,University degree,UK,White,32,23,27,34,21,3,5,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,0,0
43,35-44,Male,Masters degree,UK,White,22,16,11,23,19,3,4,6,0,3,5,6,2,4,6,0,4,0,2,2,0,0,0,1,0,0
44,35-44,Male,Professional certificate/ diploma,UK,White,15,19,18,22,16,3,5,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0,0
45,25-34,Male,University degree,UK,Other,14,32,23,31,30,3,6,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0
46,25-34,Female,University degree,UK,White,19,26,28,29,34,1,0,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
47,45-54,Female,"Some college or university, no certificate or degree",Canada,White,27,27,12,25,33,2,3,3,0,0,0,6,1,4,0,0,0,0,0,0,1,0,0,2,0,1
48,45-54,Male,Masters degree,UK,White,7,28,22,29,31,0,2,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0
49,45-54,Male,Left school at 16 years,UK,White,25,17,18,22,19,4,3,6,1,1,0,6,5,6,1,0,0,0,0,0,0,0,1,6,0,0
50,25-34,Female,Masters degree,UK,Mixed-White/Black,32,19,6,17,26,5,9,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0
51,35-44,Male,Masters degree,UK,White,34,22,19,15,24,2,3,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0,0
52,45-54,Male,Professional certificate/ diploma,Canada,White,35,29,16,17,9,8,10,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0,0
53,55-64,Female,University degree,UK,White,22,23,10,25,18,5,1,5,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0
54,45-54,Male,Masters degree,UK,White,11,22,27,25,26,3,5,5,1,1,0,6,1,5,1,0,1,0,0,0,1,0,1,1,0,0
55,55-64,Male,Left school at 16 years,UK,White,24,30,16,16,15,7,9,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0,0
56,55-64,Female,Professional certificate/ diploma,UK,White,24,18,12,20,21,1,0,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
57,35-44,Female,"Some college or university, no certificate or degree",UK,White,24,23,8,23,26,1,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
58,25-34,Female,University degree,UK,White,18,27,6,25,29,2,4,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
59,45-54,Male,Left school at 18 years,UK,White,26,27,20,20,21,8,9,5,1,1,0,6,5,5,5,2,3,1,3,3,1,0,2,6,0,1
60,45-54,Male,University degree,UK,White,19,14,11,12,23,1,1,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0
