ID,Age,Education,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Alcohol,Amphetamine,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Meth,Mushrooms,Nicotine,Semeron,Volatile substance abuse,Gender_Female,Gender_Male,Country_Australia,Country_Canada,Country_New Zealand,Country_Other,Country_Republic of Ireland,Country_UK,Country_USA,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Mixed-Black/Asian,Ethnicity_Mixed-White/Asian,Ethnicity_Mixed-White/Black,Ethnicity_Other,Ethnicity_White
2,1,0,29,52,55,48,41,2,5,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,2,6,31,45,40,32,34,1,7,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,0,5,34,34,46,47,46,1,2,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,2,0,43,28,43,41,50,3,5,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,5,3,29,38,35,55,52,1,1,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,3,5,31,32,43,41,48,3,6,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,2,1,24,52,40,41,52,4,4,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
9,2,6,42,55,39,48,49,1,1,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10,4,5,33,40,36,47,43,1,3,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,1,8,26,45,38,38,53,4,6,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,3,7,24,40,47,30,38,5,9,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,4,8,56,41,49,32,36,7,6,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
14,4,6,28,45,46,49,59,2,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,4,6,27,49,49,39,52,7,8,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16,4,8,19,29,35,36,49,2,4,5,2,2,0,6,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
17,2,7,22,34,34,45,47,3,0,6,0,0,1,6,3,5,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,3,1,41,31,44,40,31,1,3,6,1,1,0,6,6,4,1,0,1,0,2,0,1,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,4,8,49,39,45,30,30,2,5,6,2,0,2,6,3,6,2,0,2,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
20,2,6,32,27,29,30,47,1,0,4,1,0,0,6,1,6,0,0,1,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
21,3,6,28,45,51,53,33,4,5,6,1,1,0,6,2,6,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
22,5,4,25,43,38,39,53,3,2,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
23,3,8,40,33,40,50,35,2,6,4,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,3,1,51,16,37,45,34,1,1,6,2,1,5,6,2,6,2,0,0,1,0,0,1,0,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25,4,8,34,44,54,48,51,3,4,5,1,1,1,5,1,5,1,0,1,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
26,3,7,28,37,37,49,42,3,7,5,1,2,0,6,1,5,2,0,2,0,0,3,2,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27,4,3,35,28,24,38,46,4,1,6,0,0,2,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
28,2,8,41,31,46,43,25,8,7,6,1,1,2,6,6,5,1,0,0,0,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,2,5,36,29,41,45,50,4,4,6,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30,3,0,24,51,52,49,53,3,4,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,3,1,39,34,37,33,37,1,6,6,1,1,1,6,2,6,1,0,0,1,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,2,1,25,34,47,39,42,1,3,3,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,2,8,28,31,46,46,42,4,3,6,1,1,0,6,3,6,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34,0,8,40,38,48,51,41,2,1,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
